0,37.5,2.3976,0.0014985
1,15,7.1793,0.0059856
1,52.5,11.945,0.013451
2,30,16.698,0.023888
3,7.5,21.442,0.037289
3,45,26.177,0.05365
4,22.5,30.909,0.072968
5,0,35.639,0.095242
5,37.5,40.371,0.12047
6,15,45.106,0.14867
6,52.5,49.849,0.17982
7,30,54.602,0.21395
8,7.5,59.367,0.25105
8,45,64.148,0.29114
9,22.5,68.949,0.33424
10,0,73.771,0.38034
10,37.5,78.618,0.42948
11,15,83.493,0.48166
11,52.5,88.399,0.53691
12,30,93.339,0.59525
13,7.5,98.318,0.6567
13,45,103.34,0.72128
14,22.5,108.4,0.78903
15,0,113.51,0.85998
15,37.5,118.68,0.93415
16,15,123.9,1.0116
16,52.5,129.18,1.0923
17,30,134.52,1.1764
18,7.5,139.93,1.2638
18,45,145.41,1.3547
19,22.5,150.96,1.4491
20,0,156.6,1.547
20,37.5,162.32,1.6484
21,15,168.13,1.7535
21,52.5,174.04,1.8623
22,30,180.04,1.9748
23,7.5,186.15,2.0911
23,45,192.37,2.2114
24,22.5,198.71,2.3356
25,0,205.17,2.4638
